date,bn,nf,usd
2022-09-12,40574.0,17936.349609375,79.65579986572266
2022-09-13,40873.1015625,18070.05078125,79.35530090332031
2022-09-14,41405.3984375,18003.75,79.60240173339844
2022-09-15,41209.19921875,17877.400390625,79.45369720458984
2022-09-16,40776.80078125,17530.849609375,79.8490982055664
2022-09-19,40904.3984375,17622.25,79.68949890136719
2022-09-20,41468.30078125,17816.25,79.7074966430664
2022-09-21,41203.44921875,17718.349609375,79.76270294189453
2022-09-22,40630.6015625,17629.80078125,80.05069732666016
2022-09-23,39546.25,17327.349609375,81.06220245361328
2022-09-26,38616.25,17016.30078125,81.25479888916016
2022-09-27,38359.1484375,17007.400390625,81.61579895019531
2022-09-28,37759.8515625,16858.599609375,81.72460174560547
2022-09-29,37647.75,16818.099609375,81.42870330810547
2022-09-30,38631.94921875,17094.349609375,81.48059844970703
2022-10-03,38029.6484375,16887.349609375,81.52130126953125
2022-10-04,39110.05078125,17274.30078125,81.49500274658203
2022-10-06,39282.8515625,17331.80078125,81.6488037109375
2022-10-07,39178.05078125,17314.650390625,82.3489990234375
2022-10-10,39093.1015625,17241.0,82.8322982788086
2022-10-11,38712.44921875,16983.55078125,82.42070007324219
2022-10-12,39118.55078125,17123.599609375,82.2739028930664
2022-10-13,38624.0,17014.349609375,82.19999694824219
2022-10-14,39305.6015625,17185.69921875,82.19210052490234
2022-10-17,39920.44921875,17311.80078125,82.41280364990234
2022-10-18,40318.75,17486.94921875,82.1947021484375
2022-10-19,40373.19921875,17512.25,82.2863998413086
2022-10-20,40099.55078125,17563.94921875,82.99700164794922
2022-10-21,40784.05078125,17576.30078125,82.82569885253906
2022-10-24,41304.8984375,17730.75,82.54129791259766
2022-10-25,41122.75,17656.349609375,82.7614974975586
2022-10-27,41299.30078125,17736.94921875,82.04959869384766
2022-10-28,40990.8515625,17786.80078125,82.44249725341797
2022-10-31,41307.8984375,18012.19921875,82.23919677734375
2022-11-01,41289.55078125,18145.400390625,82.72899627685547
2022-11-02,41146.6484375,18082.849609375,82.68450164794922
2022-11-03,41298.3515625,18052.69921875,82.88839721679688
2022-11-04,41258.44921875,18117.150390625,82.68180084228516
2022-11-07,41686.69921875,18202.80078125,81.9749984741211
2022-11-09,41783.19921875,18157.0,81.40519714355469
2022-11-10,41603.75,18028.19921875,81.34380340576172
2022-11-11,42137.05078125,18349.69921875,80.48290252685547
2022-11-14,42076.75,18329.150390625,80.49700164794922
2022-11-15,42372.69921875,18403.400390625,80.99199676513672
2022-11-16,42535.30078125,18409.650390625,81.07140350341797
2022-11-17,42458.05078125,18343.900390625,81.49530029296875
2022-11-18,42437.44921875,18307.650390625,81.52490234375
2022-11-21,42346.55078125,18159.94921875,81.5198974609375
2022-11-22,42457.05078125,18244.19921875,81.72769927978516
2022-11-23,42729.1015625,18267.25,81.71499633789062
2022-11-24,43075.3984375,18484.099609375,81.63289642333984
2022-11-25,42983.94921875,18512.75,81.65540313720703
2022-11-28,43020.44921875,18562.75,81.6697006225586
2022-11-29,43053.44921875,18618.05078125,81.65029907226562
2022-11-30,43231.0,18758.349609375,81.63089752197266
2022-12-01,43260.6484375,18812.5,81.3052978515625
2022-12-02,43103.75,18696.099609375,81.16220092773438
2022-12-05,43332.94921875,18701.05078125,81.42250061035156
2022-12-06,43138.55078125,18642.75,81.89900207519531
2022-12-07,43098.69921875,18560.5,82.37220001220703
2022-12-08,43596.8515625,18609.349609375,82.25350189208984
2022-12-09,43633.44921875,18496.599609375,82.2791976928711
2022-12-12,43708.75,18497.150390625,82.41300201416016
2022-12-13,43946.55078125,18608.0,82.64469909667969
2022-12-14,44049.1015625,18660.30078125,82.40249633789062
2022-12-15,43498.19921875,18414.900390625,82.50800323486328
2022-12-16,43219.5,18269.0,82.85790252685547
2022-12-19,43413.75,18420.44921875,82.72599792480469
2022-12-20,43359.5,18385.30078125,82.58190155029297
2022-12-21,42617.94921875,18199.099609375,82.63690185546875
2022-12-22,42408.80078125,18127.349609375,82.87860107421875
2022-12-23,41668.05078125,17806.80078125,82.8749008178711
2022-12-26,42630.1484375,18014.599609375,82.6041030883789
2022-12-27,42859.5,18132.30078125,82.90290069580078
2022-12-28,42827.69921875,18122.5,82.7761001586914
2022-12-29,43252.3515625,18191.0,82.85199737548828
2022-12-30,42986.44921875,18105.30078125,82.83509826660156
2023-01-02,43203.1015625,18197.44921875,82.74980163574219
2023-01-03,43425.25,18232.55078125,82.70600128173828
2023-01-04,42958.80078125,18042.94921875,82.78569793701172
2023-01-05,42608.69921875,17992.150390625,82.66649627685547
2023-01-06,42188.80078125,17859.44921875,82.64520263671875
2023-01-09,42582.75,18101.19921875,82.27339935302734
2023-01-10,42014.75,17914.150390625,82.18009948730469
2023-01-11,42232.69921875,17895.69921875,81.63739776611328
2023-01-12,42082.25,17858.19921875,81.63179779052734
2023-01-13,42371.25,17956.599609375,81.1156005859375
2023-01-16,42167.55078125,17894.849609375,81.27799987792969
2023-01-17,42235.05078125,18053.30078125,81.65260314941406
2023-01-18,42458.0,18165.349609375,81.52549743652344
2023-01-19,42328.8515625,18107.849609375,81.43599700927734
2023-01-20,42506.80078125,18027.650390625,81.23979949951172
2023-01-23,42821.25,18118.55078125,80.97599792480469
2023-01-24,42733.44921875,18118.30078125,81.48799896240234
2023-01-25,41647.6484375,17891.94921875,81.60189819335938
2023-01-27,40345.30078125,17604.349609375,81.44509887695312
2023-01-30,40387.44921875,17648.94921875,81.50800323486328
2023-01-31,40655.05078125,17662.150390625,81.57990264892578
2023-02-01,40513.0,17616.30078125,81.76840209960938
2023-02-02,40669.30078125,17610.400390625,81.71029663085938
2023-02-03,41499.69921875,17854.05078125,82.0458984375
2023-02-06,41374.6484375,17764.599609375,82.22599792480469
2023-02-07,41490.94921875,17721.5,82.75499725341797
2023-02-08,41537.6484375,17871.69921875,82.74189758300781
2023-02-09,41554.30078125,17893.44921875,82.65950012207031
2023-02-10,41559.3984375,17856.5,82.533203125
2023-02-13,41282.19921875,17770.900390625,82.51300048828125
2023-02-14,41648.3515625,17929.849609375,82.59739685058594
2023-02-15,41731.05078125,18015.849609375,82.86759948730469
2023-02-16,41631.3515625,18035.849609375,82.73770141601562
2023-02-17,41131.75,17944.19921875,82.69529724121094
2023-02-20,40701.69921875,17844.599609375,82.75800323486328
2023-02-21,40673.6015625,17826.69921875,82.69750213623047
2023-02-22,39995.8984375,17554.30078125,82.86119842529297
2023-02-23,40001.55078125,17511.25,82.83529663085938
2023-02-24,39909.3984375,17465.80078125,82.6178970336914
2023-02-27,40307.1015625,17392.69921875,82.91799926757812
2023-02-28,40269.05078125,17303.94921875,82.6520004272461
2023-03-01,40698.1484375,17450.900390625,82.6353988647461
2023-03-02,40389.80078125,17321.900390625,82.4198989868164
2023-03-03,41251.3515625,17594.349609375,82.35569763183594
2023-03-06,41350.3984375,17711.44921875,81.7125015258789
2023-03-08,41577.1015625,17754.400390625,82.07460021972656
2023-03-09,41256.75,17589.599609375,81.9645004272461
2023-03-10,40485.44921875,17412.900390625,82.01840209960938
2023-03-13,39564.69921875,17154.30078125,81.95800018310547
2023-03-14,39411.3984375,17043.30078125,82.41739654541016
2023-03-15,39051.5,16972.150390625,82.30490112304688
