call_thr,put_thr,skip_ceil,min_edge,pooled_PF,pooled_Net,pooled_MaxDD,pooled_TradeCount,pooled_WR,pooled_Sharpe,pooled_Sortino,per_fold_PF,passes_min_trades_filter,rank
0.3,0.35,0.7,0.05,1.7916172378916844,5617.035052881829,4927.963777626332,12,0.4166666666666667,0.16421908139060468,0.24696062881163883,"[NaN, NaN, 0.0, 1.6937244669171247, NaN, NaN, 1.8174911775958014, NaN]",False,67
0.3,0.35,0.75,0.05,1.7916172378916844,5617.035052881829,4927.963777626332,12,0.4166666666666667,0.16421908139060468,0.24696062881163883,"[NaN, NaN, 0.0, 1.6937244669171247, NaN, NaN, 1.8174911775958014, NaN]",False,68
0.35,0.15,0.65,0.03,1.7780784877123412,9614.710860919882,6710.625929114176,27,0.4074074074074074,0.1527954421101464,0.28236231898236797,"[80.52547707117708, 0.22421853748843767, 65.63148003138863, 0.351545416495847, NaN, NaN, 1.893806959974176, Infinity]",False,69
0.32,0.2,0.7,0.08,1.7729731460763647,10294.720092426627,9344.721214549812,24,0.3333333333333333,0.16779744070249472,0.3166703065611889,"[NaN, 0.0, 0.0, 0.23137930711062724, Infinity, NaN, 20.822019011958744, Infinity]",False,70
0.32,0.15,0.7,0.08,1.7684746464429593,10294.4942578637,9137.824710403704,26,0.34615384615384615,0.1611825794813869,0.30127102856394145,"[NaN, 0.0, 0.0, 0.2794723724565374, Infinity, NaN, 20.822019011958744, 11.024975071386546]",False,71
0.32,0.25,0.65,0.03,1.7666515794754847,8525.309146563523,4099.5074137096735,18,0.3333333333333333,0.17145002114055538,0.34257831568553054,"[NaN, 0.0, NaN, 0.5718222897575114, NaN, NaN, 25.472123285448298, 0.0]",False,72
0.3,0.3,0.6,0.05,1.7584125423943466,5483.045597913802,4886.974126504672,12,0.4166666666666667,0.16016544890819767,0.24093423159063249,"[NaN, NaN, NaN, 1.6937244669171247, NaN, NaN, 1.7719655121654594, NaN]",False,73
0.3,0.3,0.65,0.05,1.7484991273114248,5442.055946792143,4927.963777626332,12,0.4166666666666667,0.1589280039005323,0.23909576610713193,"[NaN, NaN, NaN, 1.6937244669171247, NaN, NaN, 1.7598969502559654, NaN]",False,74
0.3,0.3,0.7,0.05,1.744723449870419,5426.321916181227,4927.963777626332,13,0.38461538461538464,0.15260999076982903,0.23525895892494342,"[NaN, NaN, 0.0, 1.6937244669171247, NaN, NaN, 1.7598969502559654, NaN]",False,75
0.3,0.3,0.75,0.05,1.744723449870419,5426.321916181227,4927.963777626332,13,0.38461538461538464,0.15260999076982903,0.23525895892494342,"[NaN, NaN, 0.0, 1.6937244669171247, NaN, NaN, 1.7598969502559654, NaN]",False,76
0.3,0.25,0.6,0.05,1.6936394486809747,5206.548848106924,4886.974126504672,13,0.38461538461538464,0.14622716552988002,0.2254249902908196,"[NaN, NaN, NaN, 1.6937244669171247, NaN, NaN, 1.6936224238166457, NaN]",False,77
0.32,0.15,0.75,0.03,1.6613218472625013,39147.05498288216,16408.00792174421,116,0.3706896551724138,0.15742615161317583,0.2640715753946966,"[2.6442409022053073, 2.1859772741586068, 1.856339946658776, 0.6100710304895146, 0.1408264628453679, NaN, 4.095937824108544, 0.6714814646807262]",True,78
0.32,0.25,0.65,0.05,1.6399781619308076,7415.681143763477,4099.5074137096735,19,0.2631578947368421,0.14491110656918377,0.30417786017432447,"[NaN, 0.0, NaN, 0.5718222897575114, NaN, NaN, 14.613990572186125, 0.0]",False,79
0.35,0.15,0.6,0.05,1.6141658543414772,1577.6814177388878,1118.4432938093437,6,0.16666666666666666,0.1356249410368834,0.41413218425595105,"[NaN, NaN, NaN, 0.0, NaN, NaN, 3.001279836759062, NaN]",False,80
0.35,0.2,0.6,0.05,1.6141658543414772,1577.6814177388878,1118.4432938093437,6,0.16666666666666666,0.1356249410368834,0.41413218425595105,"[NaN, NaN, NaN, 0.0, NaN, NaN, 3.001279836759062, NaN]",False,81
0.35,0.2,0.65,0.03,1.5986342234709383,7426.094184909067,6710.625929114176,27,0.37037037037037035,0.11937385073665284,0.22478977752422882,"[80.52547707117708, 0.22544734660219787, 18.079507667948477, 0.351545416495847, NaN, NaN, 1.893806959974176, Infinity]",False,82
0.3,0.35,0.6,0.08,1.5187600007934083,3617.7498520717436,4886.974126504672,9,0.4444444444444444,0.12257558546724578,0.1792835454800291,"[NaN, NaN, NaN, 0.0, NaN, NaN, 1.830365463308518, NaN]",False,83
0.32,0.2,0.75,0.03,1.5099207106308474,15886.993599301042,17967.294667014805,55,0.3090909090909091,0.11775121489047227,0.2075537668398393,"[67.0354570739846, 0.9047385329747467, 0.968037688569452, 0.3638143772524686, 0.45592459915321665, NaN, 3.2553624723446513, 0.0]",True,84
0.3,0.35,0.65,0.08,1.5098854542594762,3576.7602009500843,4927.963777626332,9,0.4444444444444444,0.121158184132264,0.17722453496389465,"[NaN, NaN, NaN, 0.0, NaN, NaN, 1.8174911775958014, NaN]",False,85
0.32,0.15,0.75,0.08,1.509038534961431,15815.183417304765,16038.309506441146,60,0.31666666666666665,0.1240368289732813,0.2130209857049567,"[0.0, 2.762158485381138, 0.04612479902855452, 0.27829709625868676, 0.8543845701922851, NaN, 3.6962489467814055, 0.9328958142273078]",True,86
0.3,0.35,0.7,0.08,1.5065064108327313,3561.026170339166,4927.963777626332,10,0.4,0.11504550488739622,0.17395630761546874,"[NaN, NaN, 0.0, 0.0, NaN, NaN, 1.8174911775958014, NaN]",False,87
0.3,0.35,0.75,0.08,1.5065064108327313,3561.026170339166,4927.963777626332,10,0.4,0.11504550488739622,0.17395630761546874,"[NaN, NaN, 0.0, 0.0, NaN, NaN, 1.8174911775958014, NaN]",False,88
0.3,0.15,0.7,0.03,1.499772513031562,17251.09310131435,11876.349749176532,64,0.375,0.12161863629256472,0.19196780674054797,"[5.4278961138641275, 0.9679129995058444, 17.127970200438483, 0.3458108371700938, 1.4914353500512247, NaN, 2.6294932537419915, 0.0]",True,89
0.32,0.25,0.65,0.08,1.4925415713007972,5571.088666823627,6098.42058763615,17,0.23529411764705882,0.11628687847098151,0.24651899036619343,"[NaN, 0.0, NaN, 0.0, NaN, NaN, 19.21252836223372, 0.0]",False,90
0.3,0.15,0.6,0.08,1.478332156833438,3427.0367153711413,4886.974126504672,10,0.4,0.11063855388415728,0.1673168940926596,"[NaN, NaN, NaN, 0.0, NaN, NaN, 1.7719655121654594, NaN]",False,91
0.3,0.2,0.6,0.08,1.478332156833438,3427.0367153711413,4886.974126504672,10,0.4,0.11063855388415728,0.1673168940926596,"[NaN, NaN, NaN, 0.0, NaN, NaN, 1.7719655121654594, NaN]",False,92
0.3,0.25,0.6,0.08,1.478332156833438,3427.0367153711413,4886.974126504672,10,0.4,0.11063855388415728,0.1673168940926596,"[NaN, NaN, NaN, 0.0, NaN, NaN, 1.7719655121654594, NaN]",False,93
