feature,ic,q,mi,imp,stab,captured_pct,clears_friction,category
dte_norm,0.0039941365333291835,0.09451715158134173,0.0013110276372767515,0.0029070892,0.0,0.0007896719664539697,False,C_redundant
de5,-0.010539189782926438,3.2359196231584523e-06,0.0,0.0028871438,1.0,0.0020836800773503237,False,D_noise
tf60_dist_from_3h_low,0.02017824612670574,1.5021664039234804e-19,0.034141304467662614,0.0028622972,1.0,0.0039893967483346105,False,B_weak
day_gap_up,0.014255757664805337,2.147831725388158e-10,0.031403426433798565,0.0028517132,0.8333333333333334,0.002818474555018494,False,D_noise
tf15_bb_squeeze,0.004000275441429987,0.09451715158134173,0.004148893562259115,0.0028474592,0.5,0.0007908856764990294,False,D_noise
day_move_atr,0.03187724458472358,2.3321207785774438e-46,0.0013974858568934767,0.0028397706,1.0,0.006302380052935008,False,B_weak
tf15_macd_hist,0.015406593903307366,5.88512092844333e-12,0.014347797039325982,0.0028026435,1.0,0.003046003861525926,False,B_weak
consec_bull,-0.017629548074012617,2.8276499130885716e-15,0.004690317767150454,0.0027908247,1.0,0.0034854992509974294,False,B_weak
tf60_close_pos,0.022727472956580088,2.3304650686277303e-24,0.03254475778756016,0.0027756772,1.0,0.00449339878904757,False,B_weak
vix_rising,-0.0048299462008836135,0.04070683271155601,0.004308234413495038,0.0027682493,0.6666666666666666,0.0009549180611358684,False,D_noise
tf15_ema_bull,0.023780144613863644,1.644601207141664e-26,0.005313396378575863,0.002766235,1.0,0.004701520191683897,False,B_weak
day_gap_down,-0.010249907181331766,5.937015409114394e-06,0.01669027801490941,0.0027395156,0.8333333333333334,0.0020264866491948325,False,D_noise
m24,0.020204610029695445,1.382848497148158e-19,0.009667744769844555,0.002724253,1.0,0.00399460909772316,False,B_weak
day_week_pos,0.0007840622767746152,0.7581567194240584,0.04758387043559886,0.0027136435,0.5,0.0001550152316417969,False,D_noise
vol_regime,-0.0004115120331044663,0.8721137057745358,0.0,0.0026698413,0.5,8.135914075281135e-05,False,D_noise
cci20,0.006129760763018311,0.008473898317758535,0.00942827794640233,0.002667453,0.6666666666666666,0.0012119015449855973,False,D_noise
vix_extreme_high,0.011720645567086983,2.0489717365096663e-07,0.0,0.0026419996,1.0,0.0023172631070167717,False,D_noise
dow,-0.0069300731042092655,0.0027348208379988008,0.0024240106459367805,0.0026288047,0.8333333333333334,0.001370129541192545,False,D_noise
dist_week_low,0.024830300285690717,9.182772539109665e-29,0.0033442981738924793,0.0026270107,1.0,0.0049091441643584754,False,B_weak
day_gap_pct,0.0131967534169875,4.448835362471983e-09,0.050330078109534826,0.0025946263,0.8333333333333334,0.0026091011498083384,False,D_noise
dl5,-0.005552786128454365,0.01810260229662644,0.0015166431102544564,0.0025622894,0.6666666666666666,0.0010978291565060768,False,D_noise
tf60_adx,0.001460647401014558,0.5555439445556328,0.03070183614896127,0.002545845,0.6666666666666666,0.0002887813913796381,False,D_noise
dl10,0.0009506952128502756,0.720741985772196,0.0009699196667414256,0.002544409,0.3333333333333333,0.00018795986365646334,False,D_noise
vol_percentile,-0.0009443083405455727,0.720741985772196,0.0,0.002539105,0.6666666666666666,0.0001866971291529582,False,D_noise
mslp,-0.01735753287686175,7.461147245440987e-15,0.001935603307799738,0.0025148867,1.0,0.00343171972347075,False,B_weak
ar,0.006040678809446961,0.009520689054611058,0.0011438569105619578,0.0025020815,0.8333333333333334,0.00119428934748928,False,D_noise
vix_change1,-0.00856897733883544,0.00017281190402002915,0.0462225109918355,0.0024932614,1.0,0.0016941536998530038,False,D_noise
tf30_close_pos,0.018924411138065277,2.3498027464498696e-17,0.02451573037820798,0.002463389,1.0,0.0037415037850304185,False,B_weak
tf60_trend_slope_3h,0.01956103669081844,1.8498849905244733e-18,0.02891764611943759,0.0024633447,1.0,0.003867369625605079,False,B_weak
mh,-0.007002022847564744,0.0024892488220498304,0.005272988938683332,0.0024392318,0.6666666666666666,0.0013843545670140889,False,D_noise
day_ema_bull,-0.0006853886529287429,0.7838039945328312,0.004326175280229716,0.0024130489,0.6666666666666666,0.00013550668607023082,False,D_noise
tf60_bull_trend,0.017623097168964617,2.8387922368824135e-15,0.010997515093902122,0.002407146,1.0,0.0034842238567208052,False,B_weak
tf60_consec_bull,0.013044159518993032,6.7349946675118995e-09,0.002772519046169819,0.002380754,1.0,0.0025789321451955365,False,D_noise
day_ema9_bull,-0.003005882907717881,0.21019935684943747,0.0037384068792929437,0.0023408514,0.8333333333333334,0.0005942865114551972,False,D_noise
above_prev_high,0.02097056339029218,6.0213253929275106e-21,0.005467587087101267,0.00233692,1.0,0.004146044055298408,False,B_weak
m9,0.002999520756434791,0.21019935684943747,0.001987640485679565,0.0023210857,0.6666666666666666,0.0005930286644906099,False,D_noise
day_big_gap,0.015086712773809591,1.6369645483721324e-11,0.005604392985702145,0.0023034955,0.8333333333333334,0.002982760865585705,False,B_weak
choch_bull,-0.0036468059456195184,0.12540798296314515,0.0027603432861742494,0.0023011458,0.5,0.0007210019983851292,False,D_noise
vov,-0.0028171407996402625,0.23621865130669215,0.004609049976626922,0.0022966359,0.6666666666666666,0.0005569707235759858,False,D_noise
rsis,-0.02110920320257966,3.375254098618292e-21,0.0,0.0022598258,1.0,0.0041734542282567694,False,B_weak
gap_up,0.0004048067312030418,0.8721137057745358,0.0003455179000839692,0.0021515412,0.5,8.003345023272489e-05,False,D_noise
tf60_consec_bear,-0.012891814627492724,9.85308565762485e-09,0.002059605895319949,0.0020815132,1.0,0.0025488123711101,False,D_noise
m6,-0.003941991614849231,0.09832036086734193,0.0012071769653125841,0.0020795474,0.6666666666666666,0.0007793625090848887,False,D_noise
stx,-0.007840709860365691,0.0006390163201931859,0.0,0.0020789176,1.0,0.0015501695353086007,False,D_noise
cmf_proxy,0.019268776264367033,5.988906962513412e-18,0.004439292691711616,0.0020780705,1.0,0.0038095874582338017,False,B_weak
gap_dn,0.0036118892656630728,0.12780703911829483,0.0,0.0020717226,0.6666666666666666,0.0007140986982367319,False,D_noise
body_pct,-0.013999787231914956,4.5628650872837204e-10,0.0,0.0020403161,1.0,0.002767867202613808,False,D_noise
liq_sweep_low,0.0049546941939056085,0.03600485633902558,0.0034068457387637086,0.0020209297,0.6666666666666666,0.000979581713001258,False,D_noise
fvg_bear_prev,0.005325260964126771,0.02383004335878386,0.0,0.0019952394,0.6666666666666666,0.0010528456557085777,False,D_noise
ob_bear,0.006230367679021384,0.007407665813361527,0.0,0.0019766416,0.8333333333333334,0.0012317923175057836,False,D_noise
consec_bear,0.01661436451264895,1.0496327570661678e-13,0.0,0.0019705396,1.0,0.0032847895375151034,False,B_weak
upper_wick,-0.0050663725184067416,0.03173909982052944,0.001442378380127396,0.0019652448,0.8333333333333334,0.0010016613893926876,False,D_noise
log_ret,-0.015622762631501464,2.930117544359562e-12,0.0010799408213781891,0.0019342565,1.0,0.0030887421062640455,False,B_weak
prev_cp,-0.008106418483577672,0.00040252322638257876,0.0031379922251077996,0.0019242769,1.0,0.0016027022039454162,False,D_noise
m3,-0.01298900065699166,7.742019787573604e-09,0.0029237944462012777,0.001921352,1.0,0.0025680268076687593,False,D_noise
close_pos,-0.009543349300436623,2.6435627113369602e-05,0.0,0.0018916006,0.8333333333333334,0.0018867946415320506,False,D_noise
body_ratio,0.002991026905781516,0.21028606431450253,0.001001877696907405,0.0018829707,0.6666666666666666,0.000591349363922848,False,D_noise
rl1,-0.01135112275503091,5.01495275474943e-07,0.0022191858748110693,0.0018672363,1.0,0.0022442055629866733,False,D_noise
vix_ideal,-0.0032571541165560616,0.17190778919771213,0.007088960554175294,0.0018610803,0.5,0.0006439647905878146,False,D_noise
rl2,0.001525667750367271,0.5413249389803938,0.004145111145698266,0.0018133917,0.5,0.00030163642192364515,False,D_noise
roc,-0.004099254914449363,0.08683765945803025,0.0,0.001794698,1.0,0.0008104546908393177,False,D_noise
rl13,0.004877905090896928,0.03911300500352166,0.004037141555403245,0.0017637396,0.6666666666666666,0.000964399908005584,False,D_noise
lower_wick,-0.0007914652963426755,0.7581567194240584,0.0017135053036627657,0.001745311,0.5,0.00015647886639019013,False,D_noise
bear_eng,0.003893639578186364,0.10075649643984547,0.0008891748969837021,0.0017423613,0.8333333333333334,0.0007698029340540885,False,D_noise
rl3,0.002624090523445015,0.2680794897774715,0.009575060429294568,0.0016969794,0.8333333333333334,0.000518803177235121,False,D_noise
is_bullish,-0.016647610487477003,9.511563606953228e-14,0.003483562538340479,0.0016964589,1.0,0.00329136252621994,False,B_weak
is_doji,0.0005666774430926943,0.8223675470175953,0.0,0.0016946617,0.5,0.00011203655335715957,False,D_noise
choch_bear,-0.00034205491050973,0.8853394386165341,0.0,0.0016713531,0.6666666666666666,6.762692551030866e-05,False,D_noise
