date,expiry,strike,opt_type,settle,oi,volume,underlying
2026-05-15,2026-05-26,26900,PE,3209.0,130,0,23643.5
2026-05-15,2026-05-26,27050,PE,3358.7,65,0,23643.5
2026-05-15,2026-06-02,21550,PE,15.25,5005,89,23643.5
2026-05-15,2026-06-02,22350,PE,52.1,15730,367,23643.5
2026-05-15,2026-06-02,23350,PE,244.95,10595,345,23643.5
2026-05-15,2026-06-02,24100,PE,601.1,23530,182,23643.5
2026-05-15,2026-06-02,25400,PE,1697.9,65,0,23643.5
2026-05-15,2026-06-09,21200,PE,20.35,1885,38,23643.5
2026-05-15,2026-06-09,21250,PE,20.4,650,10,23643.5
2026-05-15,2026-06-09,21850,PE,14.65,0,0,23643.5
2026-05-15,2026-06-16,25250,CE,77.25,0,0,23643.5
2026-05-15,2026-06-16,24950,CE,119.85,0,0,23643.5
2026-05-15,2026-06-16,23800,CE,477.7,585,26,23643.5
2026-05-15,2026-06-16,23100,CE,891.2,0,0,23643.5
2026-05-15,2026-06-16,22550,CE,1315.2,0,0,23643.5
2026-05-15,2026-06-16,22100,CE,1709.45,0,0,23643.5
2026-05-15,2026-06-09,23850,CE,357.65,2860,64,23643.5
2026-05-15,2026-06-09,23400,CE,606.55,3250,60,23643.5
2026-05-15,2026-06-09,22850,PE,163.8,2860,48,23643.5
2026-05-15,2026-06-09,23950,PE,547.65,4160,60,23643.5
2026-05-15,2026-06-09,24400,PE,835.55,650,226,23643.5
2026-05-15,2026-06-09,24550,PE,957.15,650,0,23643.5
2026-05-15,2026-06-09,24650,PE,1035.65,65,0,23643.5
2026-05-15,2026-06-09,25400,PE,1689.5,0,0,23643.5
2026-05-15,2026-06-16,22700,PE,177.0,3380,61,23643.5
2026-05-15,2026-06-16,22850,PE,203.25,1820,31,23643.5
2026-05-15,2026-06-16,23000,PE,244.8,64415,1112,23643.5
2026-05-15,2026-06-16,23900,PE,554.55,130,0,23643.5
2026-05-15,2026-06-16,25150,PE,1455.95,0,0,23643.5
2026-05-15,2026-06-16,26050,PE,2281.5,0,0,23643.5
2026-05-15,2026-06-16,26100,PE,2329.45,0,0,23643.5
2026-05-15,2026-06-30,20600,PE,34.75,11440,325,23643.5
2026-05-15,2026-06-09,23350,CE,650.1,0,0,23643.5
2026-05-15,2026-06-09,22450,CE,1340.9,0,0,23643.5
2026-05-15,2026-06-09,22250,CE,1520.4,0,0,23643.5
2026-05-15,2026-06-09,22150,CE,1612.5,0,0,23643.5
2026-05-15,2026-06-09,21350,CE,2382.85,0,0,23643.5
